Year,Pastry/cakes/buns,Cocoa-powder/chocolate sauces/chocolate drinks,Chocolate and candy,Soft drinks
1960,14.6,0.1,6.7,22.3
1961,14.7,0.1,7.2,23.2
1962,14.5,0.1,7.9,22.5
1963,14.4,0.1,7.5,24.5
1964,14.4,0.2,7.7,26.9
1965,14.2,0.2,8.4,27.6
1966,13.5,0.3,8.9,29.2
1967,13.4,0.3,9.4,28.6
1968,13.4,0.4,9.3,30.6
1969,12.8,0.5,9.2,32.3
1970,12.0,0.5,9.3,31.8
1971,11.0,0.5,8.8,31.4
1972,10.0,0.6,9.1,30.8
1973,9.3,0.6,8.9,31.9
1974,8.8,0.6,9.0,29.5
1975,7.8,0.6,8.6,29.5
1976,7.7,0.8,9.5,28.3
1977,7.5,0.8,9.2,26.6
1978,7.3,0.9,9.2,27.9
1979,7.4,0.9,9.8,28.3
1980,7.1,1.2,9.8,29.6
1981,6.8,0.9,9.2,28.4
1982,6.6,1.0,9.2,30.0
1983,6.1,0.9,9.1,30.8
1984,6.4,1.0,9.8,32.0
1985,6.5,1.1,9.8,36.2
1986,6.4,1.2,9.9,39.7
1987,6.8,1.2,10.1,42.2
1988,8.0,1.1,10.8,44.1
1989,8.3,1.1,11.2,52.1
1990,8.4,1.2,11.1,49.8
1991,8.1,1.0,11.2,50.6
1992,8.2,1.2,10.8,51.9
1993,8.0,1.4,11.5,51.4
1994,9.9,1.6,11.5,53.1
1995,9.4,1.6,11.8,58.2
1996,10.9,1.9,13.8,64.6
1997,10.9,1.7,12.6,69.1
1998,11.1,1.8,13.3,71.0
1999,11.8,1.6,13.4,78.8
2000,12.5,1.7,14.8,82.2
2001,12.5,1.5,15.2,93.8
2002,13.6,1.6,17.4,94.5
2003,11.4,1.3,16.8,93.4
2004,13.4,1.4,15.6,88.6
2005,15.6,1.9,15.2,84.5
2006,14.2,1.9,15.1,89.7
2007,13.5,2.1,15.6,87.7
2008,13.0,2.1,15.7,84.7
2009,16.5,2.3,15.1,90.9
2010,16.3,2.2,15.2,92.4
2011,13.6,2.4,16.0,87.3
2012,15.0,2.4,17.4,84.0
2013,14.0,2.2,17.1,86.8
2014,13.7,2.1,14.9,89.8 
2015,14.2,2.0,14.3,90.3
2016,13.8,2.2,15.4,96.9
2017,13.6,2.2,15.2,89.1
2018,14.3,2.1,14.9,98.2
